Symbol,Desc,insCode,insID,groupCode
تپسي,پيشگامان فن آوري و دانش آراميس,3839324986781871,IRO3TASZ0001,72 
ثمسكن,سرمايه‌گذاري‌ مسكن‌,3863538898378476,IRO1MSKN0001,70 
وطوبي,سرمايه گذاري اقتصاد شهر طوبي,3955332316338258,IRO3TOIZ0001,56 
فبستم,صنايع ‌بسته‌بندي‌ مشهد,4159532151694984,IRO7FBSP0001,28 
مفاخر,توسعه فناوري اطلاعات خوارزمي,4247709727327181,IRO3KARZ0001,72 
قيستو,شركت قند بيستون,4267564158935326,IRO7BSOP0001,38 
غزر,صنعتي زر ماكارون,4369934250728330,IRO1ZARM0001,42 
دلر,داروسازي‌ اكسير,4384288570322406,IRO1EXIR0001,43 
سخاش,سيمان‌خاش‌,4470657233334072,IRO1SKHS0001,53 
زماهان,مجتمع توليد گوشت مرغ ماهان,4507558419857064,IRO3MACZ0001,01 
سفانو,سيمان فارس نو,4528607775462304,IRO1SFNO0001,53 
ساراب,سيمان‌ داراب‌,4563413583000719,IRO1SDAB0001,53 
شستا2,سرمايه گذاري تامين اجتماعي,4585123877892473,IRO1TAMN0002,39 
كسرا,سراميك‌هاي‌صنعتي‌اردكان‌,4614779520007780,IRO1ARDK0001,54 
سفارود,كارخانه فارسيت درود,4686607974846832,IRO7SFAP0001,54 
فخاس,فولاد خراسان,4733285133017464,IRO1FKAS0001,27 
خپويش,سازه‌ پويش‌,4758266259250794,IRO1SZPO0001,34 
كاما,باما,4942127026063388,IRO1BAMA0001,13 
زمگسا,كشاورزي‌ ودامپروي‌ مگسال‌,5054819322815158,IRO1MAGS0001,01 
وحافظ,بيمه حافظ,5128151910501174,IRO7HFZP0001,66 
لپارس,پارس‌ الكتريك‌,5187018329202415,IRO1PELC0001,32 
داوه,داروسازي آوه سينا,5305844922895340,IRO3AVLZ0001,43 
هجرت,پخش هجرت,5317427172344706,IRO3HEDZ0001,43 
زفكا,كشت و دامداري فكا,5427792638736934,IRO3FAAZ0001,01 
غمينو,شركت صنايع غذايي مينو شرق,5516102131364383,IRO3MNOZ0001,42 
حريل,ريل پردازسير,5564768007356822,IRO3HRLZ0001,60 
بخاور,بيمه زندگي خاورميانه,5599691633622269,IRO3MLIZ0001,66 
دسبحان,سبحان دارو,5866848234665627,IRO1DSBH0001,43 
وتعاون,بيمه تعاون,5920901446678689,IRO3TAVZ0001,66 
شگويا,پتروشيمي تندگويان,5987841496184505,IRO3TPEZ0001,44 
ثشرق,سرمايه گذاري مسكن شمال شرق,6043384171800349,IRO1PMSZ0001,70 
پارس,پتروشيمي پارس,6110133418282108,IRO1PARS0001,44 
شجم,صنايع پتروشيمي تخت جمشيد,6116572045021585,IRO3TJPZ0001,44 
غمهرا,توليدي‌مهرام‌,6131290133202745,IRO1MRAM0001,42 
خعمرا,توسعه و عمران شهرستان نائين,6433335428452486,IRO7TONP0001,34 
آريان,سرمايه گذاري پارس آريان,6506179926371994,IRO7PAIP0001,56 
سشمال,سيمان‌ شمال‌,6757220448540984,IRO1SIMS0001,53 
ومعلم,بيمه معلم,6847536925606808,IRO3MOIZ0001,66 
وپخش,داروپخش‌ (هلدينگ‌,7183333492448248,IRO1DARO0001,43 
پكوير,كوير تاير,7235435095059069,IRO1KVRZ0001,25 
زكشت,كشاورزي مكانيزه اصفهان كشت,7300125658580126,IRO3IKAZ0001,01 
ورنا,سرمايه‌گذاري‌ رنا(هلدينگ‌,7385624172574740,IRO1RENA0001,34 
وخارزم,سرمايه گذاري خوارزمي,7395271748414592,IRO1IKHR0001,56 
خمحور,توليدمحورخودرو,7457232989848872,IRO1TMKH0001,34 
خاهن,آهنگري‌ تراكتورسازي‌ ايران‌,7483280423474368,IRO1ATIR0001,34 
ثاصفا,شركت‌ ساختمان‌ اصفهان‌,7503669593172728,IRO7SESP0001,70 
ممسني,پتروشيمي ممسني,7505990056227818,IRO7PMMP0001,44 
بكهنوج,توليد برق ماهتاب كهنوج,7628308021169118,IRO3KAHZ0001,40 
شاراك,پتروشيمي شازند,7711282667602555,IRO1PARK0001,44 
شپنا,پالايش نفت اصفهان,7745894403636165,IRO1PNES0001,23 
وگردش,بانك گردشگري,7920014658832193,IRO7GRDZ0001,57 
فزر,پويا زركان آق دره,8175784894140974,IRO3PZAZ0001,13 
غدانه,پنبه و دانه هاي روغني خراسان,8234855558996646,IRO3KCOZ0001,42 
بالاس,مهندسي ساختمان تاسيسات راه آهن,8646067353086740,IRO3BLSZ0001,45 
فگستر,گسترش صنايع روي ايرانيان,8725363201030474,IRO3IZIZ0001,27 
دزهراوي,داروسازي‌زهراوي‌,8915450910866216,IRO1DZAH0001,43 
