,vahed,esm,tolid,foroosh,nerkh_foroosh,mablagh_forosh,Year,Month,Day,nemad
4,تن,کلوخه سنگ آهن,750863,0,0,0,1401,06,31,کگهر
7,تن,کنسانتره سنگ آهن,594347,27299,26581157,725639,1401,07,30,کگهر
6,تن,کلوخه سنگ آهن,946594,0,0,0,1401,07,30,کگهر
11,تن,گندله بورس کالا,0,60000,27628333,1657700,1401,07,30,کگهر
10,تن,گندله,440777,0,0,0,1401,07,30,کگهر
9,تن,کنسانتره بورس کالا,0,49555,23359701,1157590,1401,07,30,کگهر
8,تن,سنگ آهن دانه بندي شده,770750,0,0,0,1401,07,30,کگهر
11,تن,گندله بورس کالا,0,560000,28588911,16009790,1401,08,30,کگهر
10,تن,گندله,410652,0,0,0,1401,08,30,کگهر
7,تن,کنسانتره سنگ آهن,592381,64076,28162807,1804560,1401,08,30,کگهر
8,تن,سنگ آهن دانه بندي شده,859814,0,0,0,1401,08,30,کگهر
9,تن,کنسانتره بورس کالا,0,123962,22253626,2758604,1401,08,30,کگهر
6,تن,کلوخه سنگ آهن,860128,0,0,0,1401,08,30,کگهر
9,تن,کنسانتره بورس کالا,0,496465,29901586,14845091,1401,09,30,کگهر
8,تن,سنگ آهن دانه بندي شده,956660,0,0,0,1401,09,30,کگهر
7,تن,کنسانتره سنگ آهن,581655,48427,27852768,1348826,1401,09,30,کگهر
6,تن,کلوخه سنگ آهن,843841,17145,11386935,195229,1401,09,30,کگهر
11,تن,گندله بورس کالا,0,568905,30433187,17313592,1401,09,30,کگهر
10,تن,گندله,433708,0,0,0,1401,09,30,کگهر
7,تن,کنسانتره سنگ آهن,607454,67232,28941471,1945793,1401,10,30,کگهر
8,تن,سنگ آهن دانه بندي شده,706448,0,0,0,1401,10,30,کگهر
9,تن,گندله,148816,0,0,0,1401,10,30,کگهر
6,تن,کلوخه سنگ آهن ,735989,0,0,0,1401,10,30,کگهر
10,تن,گندله,82543,0,0,0,1401,11,30,کگهر
11,تن,سنگ آهن دانه بندي شده,811900,0,0,0,1401,11,30,کگهر
6,تن,کلوخه سنگ آهن ,1294830,0,0,0,1401,11,30,کگهر
7,تن,کنسانتره سنگ آهن,377216,57902,30734310,1779578,1401,11,30,کگهر
7,تن,کنسانتره سنگ آهن,585326,0,0,0,1401,12,29,کگهر
10,تن,گندله,460307,50000,38961680,1948084,1401,12,29,کگهر
11,تن,سنگ آهن دانه بندي شده,638262,0,0,0,1401,12,29,کگهر
8,تن,گندله بورس کالا,0,35000,40690857,1424180,1401,12,29,کگهر
9,تن,کنسانتره بورس کالا,0,186450,34908319,6508656,1401,12,29,کگهر
6,تن,کلوخه سنگ آهن ,1138482,0,0,0,1401,12,29,کگهر
10,تن,کنسانتره بورس کالا,0,146765,35974551,5279805,1402,01,31,کگهر
11,تن,گندله بورس کالا,0,55000,42211364,2321625,1402,01,31,کگهر
8,تن,سنگ آهن دانه بندي شده,988251,0,0,0,1402,01,31,کگهر
9,تن,گندله,512947,0,0,0,1402,01,31,کگهر
6,تن,کلوخه سنگ آهن ,1048640,0,0,0,1402,01,31,کگهر
7,تن,کنسانتره سنگ آهن,614313,0,0,0,1402,01,31,کگهر
7,تن,کنسانتره سنگ آهن,621995,0,0,0,1402,02,31,کگهر
6,تن,کلوخه سنگ آهن ,1167370,0,0,0,1402,02,31,کگهر
9,تن,گندله,520133,0,0,0,1402,02,31,کگهر
8,تن,سنگ آهن دانه بندي شده,1001927,0,0,0,1402,02,31,کگهر
11,تن,گندله بورس کالا,0,560000,48157934,26968443,1402,03,31,کگهر
10,تن,کنسانتره بورس کالا,0,252368,37090297,9360404,1402,03,31,کگهر
9,تن,گندله,523515,0,0,0,1402,03,31,کگهر
8,تن,سنگ آهن دانه بندي شده,1004408,116406,18609805,2166293,1402,03,31,کگهر
7,تن,کنسانتره سنگ آهن,624221,0,0,0,1402,03,31,کگهر
6,تن,کلوخه سنگ آهن ,1462292,396642,17979193,7131303,1402,03,31,کگهر
11,تن,کلوخه سنگ آهن ,1138074,663602,16698557,11081196,1402,04,31,کگهر
10,تن,کنسانتره سنگ آهن,626527,0,0,0,1402,04,31,کگهر
9,تن,سنگ آهن دانه بندي شده,1007949,170944,16928415,2893811,1402,04,31,کگهر
8,تن,گندله,525967,0,0,0,1402,04,31,کگهر
7,تن,کنسانتره بورس کالا,0,46717,39102768,1826764,1402,04,31,کگهر
6,تن,گندله بورس کالا,0,465000,45000000,20925000,1402,04,31,کگهر
10,تن,سنگ آهن دانه بندي شده,1009195,461540,15078715,6959430,1402,05,31,کگهر
8,تن,کلوخه سنگ آهن ,1452129,539563,14848716,8011818,1402,05,31,کگهر
9,تن,کنسانتره سنگ آهن,628941,0,0,0,1402,05,31,کگهر
7,تن,کنسانتره بورس کالا,0,0,0,0,1402,05,31,کگهر
6,تن,گندله بورس کالا,0,735000,44347993,32595775,1402,05,31,کگهر
